Title,Société,Pertinent
PS5 Slim : Cdiscount propose la console en super promotion et c’est un carton,Cdiscount,Non
Top 3 offres d’électroménager pendant les soldes 2024 Cdiscount,Cdiscount,Non
200 € de réduction sur cet aspirateur Roborock,Cdiscount,Non
Le sèche-cheveux Dyson Supersonic est en promo sur ce site !,Cdiscount,Non
Changez votre salon avec ce canapé tendance à moitié prix,Cdiscount,Non
Soldes d’hiver 2024 Cdiscount : Jusqu’à -55 % sur l’informatique,Cdiscount,Non
Soldes : une sélection de canapés à bon prix,Cdiscount,Non
Promotions exceptionnelles sur cette sélection de trottinettes électriques !,Cdiscount,Non
"Cdiscount : la 3ème vague de soldes débarque (trottinette KuKirin G2 Pro à 490€, Lenovo Legion5 17 à 850€...)",Cdiscount,Non
"La nouvelle offre de Cdiscount : une imprimante HP haut de gamme à prix cassé, l'opportunité à saisir pour des impressions de qualité professionnelle !",Cdiscount,Non
"Coup de tonnerre dans le monde des mixeurs : Cdiscount lance une promo fracassante sur le blender Moulinex, mettant ses concurrents sous pression",Cdiscount,Non
Cdiscount vous propose une imprimante HP haut de gamme à moindre coût,Cdiscount,Non
3ème démarque des soldes : notre sélection des meilleures offres sur le high-tech,Cdiscount,Non
La box TV Android à prix imbattable sur Cdiscount : une opportunité à saisir pour les amateurs de streaming !,Cdiscount,Non
Coup de tonnerre dans le monde de l'électroménager: Cdiscount casse les prix avec un réfrigérateur à la performance redoutable,Cdiscount,Non
La révolution du ménage : Cdiscount vous permet de vous procurer l'aspirateur Bissell Crosswave Essential à un prix imbattable !,Cdiscount,Non
Soldes d'hiver : le radiateur électrique Oceanic Rubis à prix cassé chez Cdiscount !,Cdiscount,Non
Les soldes chez Cdiscount touchent à leur fin : ne manquez pas les dernières réductions avant qu'il ne soit trop tard !,Cdiscount,Non
Révolution dans l'univers de l'entretien ménager : Cdiscount brise les codes avec une offre exceptionnelle sur l'aspirateur sans fil Tineco Floor One S6,Cdiscount,Non
"Offre exceptionnelle chez Cdiscount Mobile : profitez de 60 Go en 4G à seulement 7,99€ par mois sur le réseau Bouygues ! Ne tardez pas à souscrire pour une connexion haut débit à petit prix.",Cdiscount,Non
Vente flash chez Cdiscount : profitez d'une remise exceptionnelle sur ce canapé d'angle au design moderne et élégant !,Cdiscount,Non
Coup de tonnerre dans le monde du e-commerce: Cdiscount sacrifie ses marges avec une table basse bradée lors des soldes d'hiver,Cdiscount,Non
Le géant du e-commerce Cdiscount frappe fort avec une nouvelle baisse de prix sur le MacBook Air : une opportunité à ne pas manquer pour les amateurs de technologie !,Cdiscount,Non
"Cdiscount Mobile : un superbe forfait 150 Go 5G à 12,99 €/mois !",Cdiscount,Non
Loire. Casino devrait conserver la marque et le siège social à Saint-Étienne,Cdiscount,Non
Legrand confirme ses objectifs porté par la quête d'efficacité énergétique,Legrand,Oui
Matter et la maison connectée : tout savoir sur cette incroyable alliance,Legrand,Oui
La satisfaction client au cœur de l'innovation technologique de Legrand - 23/12,Legrand,Oui
"Le cours de l'action Legrand en hausse de 0,04% : une légère évolution à la bourse de Paris",Legrand,Oui
Le génie musical de Michel Legrand : retour sur la vie et l'oeuvre d'un compositeur incontournable,Legrand,Non
Legrand mise sur les data centers comme relais de croissance,Legrand,Oui
Benoît Coquart (Legrand) : Legrand réalise une marge record en 2023 - 15/02,Legrand,Oui
Legrand réalise une marge record en 2023,Legrand,Oui
"Malgré la crise du bâtiment, Legrand dépasse le milliard d'euros de bénéfice",Legrand,Oui
"Legrand : Résistance exemplaire face aux turbulences du marché, les marges font office de rempart",Legrand,Oui
Le débat houleux entre Duhamel et Legrand : un échange de points de vue passionnant sur l'actualité politique française,Legrand,Non
LEGRAND : L'entreprise continue d'enregistrer une croissance solide et maintient le cap malgré les incertitudes économiques actuelles.,Legrand,Oui
La confrontation avec Duhamel: l'analyse sans concession de Thomas Legrand,Legrand,Non
Xavier Legrand : Un regard intime sur le tournage de Le Successeur dans le somptueux château de Barbe-Bleue,Legrand,Non
Le mystère du père: l'exploration sombre et troublante de la filiation dans Le successeur de Xavier Legrand,Legrand,Non
La journaliste Sonia Mabrouk riposte à Thomas Legrand : une remise en question de sa crédibilité ?,Legrand,Non
Le marché boursier en chute libre : retour imminent vers la borne basse du range,Legrand,Non
"Enquête sur les leaders du marché de l'électricité : décryptage des performances de Legrand, Schneider et autres géants du secteur",Legrand,Oui
L'envers du décor chez Legrand : décryptage du prix de ses produits et impact sur les consommateurs,Legrand,Oui
LEGRAND : La croissance continue malgré un contexte économique incertain,Legrand,Oui
Legrand : une performance remarquable sur les marchés boursiers grâce à une stratégie gagnante,Legrand,Oui
Legrand : une croissance fulgurante portée par la demande croissante en équipements électriques,Legrand,Oui
"Legrand : L'analyste financier Berenberg recommande désormais l'achat de l'action, une opportunité à saisir pour les investisseurs",Legrand,Oui
Legrand : une opportunité d'achat à saisir selon l'analyste Berenberg,Legrand,Oui
"Legrand, acteur majeur de la Bourse : en tête du CAC 40, une performance remarquable le mercredi 6 mars 2024",Legrand,Oui
"Rachat de Microtecnica : « L'Allemagne et l'Italie nous font un procès d'intention » (Olivier Andriès, Safran)",Safran,Oui
Rome s'oppose à l'acquisition par Safran d'un équipementier stratégique italien,Safran,Oui
Safran/Collins Aerospace : le veto italien,Safran,Oui
Aéronautique : Safran bloqué par l'Italie dans le processus de rachat de Collins Aerospace,Safran,Oui
L’ancien directeur général de Safran est appelé en renfort chez Asltom,Safran,Oui
"L'équipementier français Safran vient de signer pour 1,2 milliard de dollars contrats avec Emirates",Safran,Oui
Une alliance italo-allemande anti-Scaf derrière le veto sur la reprise de Microtecnica par Safran?,Safran,Oui
"Safran au Havre, élève modèle de la décarbonation",Safran,Oui
Aéronautique : « La moitié du succès de la décarbonation repose sur les énergéticiens » (Safran),Safran,Oui
"Aéronautique : Airbus, Daher et Safran font voler l'avion Ecopulse en hybride-électrique",Safran,Oui
Vidéo. Aéronautique : l’avion hybride-électrique EcoPulse a effectué son premier vol dans les Pyrénées,Safran,Non
"Airbus, Safran et Daher : l'avion hybride-électrique EcoPulse a effectué son premier vol",Safran,Oui
L'avion hybride-électrique EcoPulse a effectué son premier vol,Safran,Non
"""EcoPulse"" : l'avion hybride a effectué son premier vol à Tarbes",Safran,Non
Safran prêt à contester en justice le veto de l’Italie sur le rachat de Microtecnica,Safran,Oui
"Industrie aéronautique: Safran met en garde contre des objectifs de production ""irréalistes""",Safran,Oui
Premier vol réussi pour l'avion hybride-électrique EcoPulse dans le ciel des Hautes-Pyrénées,Safran,Oui
Spatial : le CNES étoffe son réseau d'antennes dans le monde face aux besoins du NewSpace,Safran,Non
France : premier vol réussi pour l’avion hybride-électrique EcoPulse,Safran,Oui
Les câblages électriques de Safran équiperont l'avion de certification électrique-hybride Cassio 330,Safran,Oui
"Avion hybride électrique Cassio : après le moteur, Safran fournira les câblages électriques",Safran,Oui
Futur Open Fan : Safran et l'Onera lancent les essais en soufflerie,Safran,Oui
Le moteur frugal du futur fait ses premiers vols en soufflerie,Safran,Non
"Aéronautique : Voltaero, Aura Aero... Safran engrange les contrats pour l'aviation électrique",Safran,Oui
Le moteur frugal des avions du futur d'Airbus et Boeing fait ses premiers vols en soufflerie,Safran,Non
"Offre exceptionnelle : la box internet de Free à moins de 20€, une opportunité à saisir pour bénéficier d'une connexion haut débit à petit prix !",Free,Non
Controverse autour d'un concert au Bataclan : la polémique enfle suite aux cris de soutien à la Palestine,Free,Non
Offre exceptionnelle chez Free : profitez vite de ce forfait mobile à prix imbattable avant qu'il ne soit trop tard !,Free,Non
Panique chez les utilisateurs de l'application OQEE : une panne géante paralyse le service gratuit !,Free,Non
Fibre optique : l'offre de Free séduit les consommateurs et fait trembler la concurrence,Free,Non
Panique chez les abonnés de Free : le réseau mobile et internet de l'opérateur paralysé par une panne majeure,Free,Oui
La révolution continue : Free lance sa box internet incluant Disney+ et Prime Video à un prix défiant toute concurrence,Free,Oui
La guerre des prix de la fibre fait rage : Free frappe fort en incluant Disney+ et Prime Video dans son offre internet,Free,Non
Duty Free International Limited (SGX:5SO) : une performance boursière décevante qui reflète des fondamentaux faibles,Free,Oui
Offre irrésistible : le forfait mobile à prix cassé de Free Mobile fait un carton ce dimanche !,Free,Non
Révolution chez Free : des offres mobiles imbattables et une avalanche de bons plans à saisir !,Free,Non
Tele2 cède la majorité de ses parts à Free (Iliad) et Xavier Niel pour un milliard d'euros : quelles conséquences pour le marché des télécommunications ?,Free,Oui
Free frappe fort sur le marché des forfaits mobiles avec une offre imbattable : découvrez vite les détails !,Free,Non
La révolution de la Freebox : une offre inédite à ne pas manquer !,Free,Non
Chute inattendue pour Eurofins : le free cash flow et le dividende laissent les investisseurs perplexes,Free,Oui
"Free lance une offre révolutionnaire : box internet incluant Disney+, Prime Video et la fibre à un prix défiant toute concurrence !",Free,Non
"Offre exceptionnelle : le forfait Free 140 Go à prix imbattable de 9,99 €/mois, sans engagement !",Free,Non
Le déclin de la télévision traditionnelle et le plafonnement de la diffusion en continu : Une épée à double tranchant pour les réseaux de médias,Free,Non
"La révolution continue: le forfait mobile à 10,99 euros de Free bouscule les géants du marché télécom",Free,Oui
Freebox Pop : une offre exceptionnelle pour profiter pleinement de la fibre à petit prix !,Free,Non
"La nouvelle box internet Free fait trembler le marché : un bouquet alléchant incluant la fibre, Disney+ et Prime Video !",Free,Non
Iliad fait sensation avec l'arrivée de ses nouveaux abonnés Free en ligne !,Free,Oui
"Offre exceptionnelle : Profitez vite du forfait mobile Free à prix cassé, une opportunité à ne pas manquer !",Free,Non
Faille de sécurité chez Free : des données personnelles dévoilées dans les factures de ses abonnés,Free,Oui
Violation de la confidentialité chez Free : des données personnelles exposées sur les factures des clients,Free,Oui
"Arkema : une ascension fulgurante au-delà des 100 euros, une performance remarquable dans un contexte économique incertain",Arkema,Oui
